base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,55,37.22997136409823,53.5461721294639,9,random_seed_241,95133,15831,1729.6909090909091,2
62,311,56,37.47542195067235,53.96871973942897,9,random_seed_242,94761,15687,1692.1607142857142,3
62,311,57,37.22931155069346,53.53150033745122,8,random_seed_243,95134,15836,1669.017543859649,3
62,311,57,37.07623484078702,53.15590246192669,8,random_seed_244,95366,15964,1673.0877192982457,3
62,311,56,37.30914897267053,53.49041931981572,9,random_seed_245,95013,15850,1696.6607142857142,3
62,311,56,37.288694757122684,53.88362334575545,9,random_seed_246,95044,15716,1697.2142857142858,3
62,311,55,37.13099935338286,53.361307550104165,10,random_seed_247,95283,15894,1732.418181818182,3
62,311,59,37.28671531690838,53.822001819302216,7,random_seed_248,95047,15737,1610.9661016949153,4
62,311,58,37.24448725900316,53.73983978403122,8,random_seed_249,95111,15765,1639.844827586207,4
62,311,52,37.29925177159899,53.648874673552626,12,random_seed_250,95028,15796,1827.4615384615386,2
62,311,57,37.19500125364547,53.370110625311774,7,random_seed_251,95186,15891,1669.9298245614036,2
62,311,59,37.30716953245622,53.754511576043896,7,random_seed_252,95016,15760,1610.4406779661017,4
62,311,57,37.24844613943177,53.540303412658815,8,random_seed_253,95105,15833,1668.5087719298247,3
62,311,60,37.191702186621626,53.57845007189178,7,random_seed_254,95191,15820,1586.5166666666667,5
62,311,57,37.3289433748136,53.69875876639573,9,random_seed_255,94983,15779,1666.3684210526317,4
62,311,57,37.21413584238377,53.493353678218256,7,random_seed_256,95157,15849,1669.421052631579,2
62,311,57,37.222053603241,53.56964699668417,7,random_seed_257,95145,15823,1669.2105263157894,2
62,311,54,37.172567597883315,53.74864285923883,9,random_seed_258,95220,15762,1763.3333333333333,1
62,311,57,37.08151334802518,53.42292907655741,7,random_seed_259,95358,15873,1672.9473684210527,2
62,311,58,37.34082001609945,53.78385516006925,7,random_seed_260,94965,15750,1637.3275862068965,3
62,311,57,37.24910595283654,53.71049620000586,9,random_seed_261,95104,15775,1668.4912280701753,4
62,311,55,37.394924715290514,54.06848792511517,9,random_seed_262,94883,15653,1725.1454545454546,2
62,311,58,37.366552738885446,54.00393204025939,9,random_seed_263,94926,15675,1636.655172413793,5
62,311,57,37.26296203433669,53.598990580709525,9,random_seed_264,95083,15813,1668.122807017544,4
62,311,54,37.40548172976682,53.91590128818334,12,random_seed_265,94867,15705,1756.7962962962963,4
62,311,58,37.27417886221777,53.469878810997976,7,random_seed_266,95066,15857,1639.0689655172414,3
62,311,57,37.25108539305085,53.62539980633234,8,random_seed_267,95101,15804,1668.438596491228,3
62,311,56,37.27681811583684,53.73690542562869,9,random_seed_268,95062,15766,1697.5357142857142,3
62,311,58,37.16399002362132,53.39945420933713,9,random_seed_269,95233,15881,1641.948275862069,5
62,311,57,37.3183863603373,53.73103670882362,7,random_seed_270,94999,15768,1666.6491228070176,2
62,311,58,37.26164240752715,53.604859297514594,8,random_seed_271,95085,15811,1639.396551724138,4
62,311,57,37.3012312118133,53.822001819302216,9,random_seed_272,95025,15737,1667.1052631578948,4
62,311,55,37.1131843914541,53.370110625311774,10,random_seed_273,95310,15891,1732.909090909091,3
62,311,58,37.136277860621014,53.38478241732445,8,random_seed_274,95275,15886,1642.6724137931035,4
62,311,56,37.1857638659787,53.56964699668417,10,random_seed_275,95200,15823,1700.0,4
62,311,58,37.29067419733699,53.695824407993186,7,random_seed_276,95041,15780,1638.6379310344828,3
62,311,55,37.264941474550994,53.58138443029432,10,random_seed_277,95080,15819,1728.7272727272727,3
62,311,62,37.27285923540823,53.72810235042108,4,random_seed_278,95068,15769,1533.3548387096773,4
